epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8611,1.14503,2.24323,1.09913,0,0,0,0,nan,nan,nan,0.000647619,0.000647619,0.000647619
2,109.251,1.12229,1.38588,1.06405,1,0.3268,0.66338,0.53313,nan,nan,nan,0.00128826,0.00128826,0.00128826
3,158.215,1.14702,1.23101,1.08871,0.65861,0.61787,0.67975,0.46755,nan,nan,nan,0.00190251,0.00190251,0.00190251
4,205.881,1.12206,1.0667,1.06099,0.98182,0.70588,0.84392,0.60133,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,252.602,1.10863,0.95793,1.07674,0.9451,0.82353,0.90421,0.64639,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,298.806,1.12429,0.92311,1.09301,0.96289,0.84787,0.91396,0.65711,nan,nan,nan,0.001802,0.001802,0.001802
7,345.739,1.09433,0.81125,1.0838,0.97416,0.84967,0.92411,0.63587,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,391.873,1.09647,0.76641,1.05864,0.98843,0.86275,0.9315,0.7013,nan,nan,nan,0.0017228,0.0017228,0.0017228
9,437.321,1.06505,0.71966,1.05641,0.97478,0.86275,0.92836,0.68362,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,482.541,1.0426,0.67954,1.04581,0.97517,0.88235,0.9351,0.70613,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,528.668,1.01843,0.63638,1.03991,0.91962,0.85621,0.91865,0.66738,nan,nan,nan,0.001604,0.001604,0.001604
12,574.435,1.03299,0.63357,1.03736,0.97075,0.86776,0.93526,0.68787,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,620.09,1.01952,0.60959,1.03354,0.9554,0.87582,0.92824,0.70315,nan,nan,nan,0.0015248,0.0015248,0.0015248
14,666.279,1.02545,0.61154,1.03347,0.9537,0.86928,0.93118,0.69532,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,712.328,0.99526,0.58596,1.02909,0.97841,0.88868,0.93896,0.69526,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,758.009,0.97431,0.56739,1.0206,0.98538,0.8809,0.93468,0.70171,nan,nan,nan,0.001406,0.001406,0.001406
17,803.271,0.99094,0.56565,1.03222,0.94481,0.89542,0.93553,0.71152,nan,nan,nan,0.0013664,0.0013664,0.0013664
18,848.324,1.00059,0.56028,1.04401,0.97696,0.85621,0.92931,0.69465,nan,nan,nan,0.0013268,0.0013268,0.0013268
19,894.652,0.96291,0.54879,1.01543,0.97589,0.88235,0.94067,0.72129,nan,nan,nan,0.0012872,0.0012872,0.0012872
20,940.263,0.96986,0.53819,1.02242,0.97748,0.88235,0.94045,0.74039,nan,nan,nan,0.0012476,0.0012476,0.0012476
21,985.841,0.94744,0.53696,1.01645,0.98252,0.89542,0.94235,0.73546,nan,nan,nan,0.001208,0.001208,0.001208
22,1031.62,0.91805,0.50464,1.00992,0.95012,0.90196,0.94581,0.73173,nan,nan,nan,0.0011684,0.0011684,0.0011684
23,1077.26,0.94917,0.51446,1.00872,0.97832,0.88467,0.94295,0.71251,nan,nan,nan,0.0011288,0.0011288,0.0011288
24,1123.23,0.9314,0.49868,0.99707,0.95797,0.89383,0.94314,0.7047,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,1169.56,0.92791,0.49306,1.01,0.9854,0.88235,0.94006,0.72363,nan,nan,nan,0.0010496,0.0010496,0.0010496
26,1214.95,0.91356,0.493,0.99917,0.98307,0.89542,0.9444,0.72978,nan,nan,nan,0.00101,0.00101,0.00101
27,1262.71,0.92604,0.49115,1.00198,0.99948,0.86928,0.94111,0.71685,nan,nan,nan,0.0009704,0.0009704,0.0009704
28,1388.88,0.91067,0.48239,1.00657,0.97806,0.87403,0.93717,0.73016,nan,nan,nan,0.0009308,0.0009308,0.0009308
29,1430.69,0.9191,0.4849,0.99901,0.95808,0.89636,0.94616,0.72473,nan,nan,nan,0.0008912,0.0008912,0.0008912
30,1472.47,0.93343,0.49778,1.00738,0.97283,0.89542,0.94216,0.7152,nan,nan,nan,0.0008516,0.0008516,0.0008516
31,1514.02,0.89652,0.4734,0.98853,0.9844,0.89542,0.94724,0.73243,nan,nan,nan,0.000812,0.000812,0.000812
32,1555.14,0.91041,0.46526,1.00152,0.97826,0.88235,0.93786,0.71604,nan,nan,nan,0.0007724,0.0007724,0.0007724
33,1596.65,0.89656,0.46579,0.99319,0.98565,0.89785,0.94589,0.73087,nan,nan,nan,0.0007328,0.0007328,0.0007328
34,1638.23,0.90833,0.46484,0.98882,0.97362,0.88235,0.93944,0.71171,nan,nan,nan,0.0006932,0.0006932,0.0006932
35,1679.76,0.84255,0.43852,0.98114,0.97692,0.88235,0.93821,0.73184,nan,nan,nan,0.0006536,0.0006536,0.0006536
36,1721.99,0.83787,0.43501,0.9632,0.97728,0.90196,0.94694,0.72251,nan,nan,nan,0.000614,0.000614,0.000614
37,1764.62,0.86016,0.43814,0.98674,0.98918,0.90196,0.9484,0.73926,nan,nan,nan,0.0005744,0.0005744,0.0005744
