epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0982,1.18801,1.71744,1.09716,0.82822,0.59735,0.74296,0.5137,1.33577,3.48794,1.12163,0.0676735,0.000326531,0.000326531
2,144.311,1.18011,0.91213,1.07414,0.92969,0.76549,0.88826,0.58147,1.21959,1.46769,1.08611,0.0346604,0.000646799,0.000646799
3,201.459,1.15903,0.88174,1.05209,0.95804,0.85841,0.92934,0.60198,1.14246,0.90828,1.06068,0.00163414,0.000953867,0.000953867
4,259.124,1.20258,0.84738,1.07943,0.91221,0.87354,0.92791,0.60923,1.22076,0.76725,1.09202,0.0009406,0.0009406,0.0009406
5,317.496,1.14891,0.79656,1.0581,0.97306,0.81416,0.92117,0.62434,1.15301,0.81213,1.08714,0.0009208,0.0009208,0.0009208
6,373.932,1.22475,0.81007,1.08765,0.93525,0.88496,0.93755,0.58472,1.17592,0.76237,1.11761,0.000901,0.000901,0.000901
7,431.397,1.22886,0.81492,1.09676,0.95576,0.86032,0.94592,0.61395,1.23114,0.73054,1.0937,0.0008812,0.0008812,0.0008812
8,484.141,1.20635,0.76388,1.07996,0.97474,0.8538,0.92918,0.61148,1.28056,0.7264,1.1403,0.0008614,0.0008614,0.0008614
9,541.966,1.19902,0.74731,1.08537,0.94301,0.88496,0.94398,0.6397,1.17848,0.70193,1.08184,0.0008416,0.0008416,0.0008416
10,600.696,1.1221,0.70032,1.05784,0.95703,0.90265,0.95797,0.66558,1.07798,0.64051,1.03859,0.0008218,0.0008218,0.0008218
11,658.613,1.10082,0.66588,1.02974,0.96816,0.87168,0.94418,0.65638,1.06898,0.64438,1.03043,0.000802,0.000802,0.000802
12,716.772,1.08187,0.65079,1.03219,0.94092,0.91608,0.94819,0.6479,1.09149,0.6504,1.04583,0.0007822,0.0007822,0.0007822
13,773.917,1.06628,0.65004,1.03548,0.97539,0.87692,0.94783,0.65127,1.10139,0.62637,1.05482,0.0007624,0.0007624,0.0007624
14,831.003,1.04448,0.61658,1.00837,0.92771,0.90708,0.94827,0.63918,1.12181,0.64127,1.03681,0.0007426,0.0007426,0.0007426
15,888.836,1.02458,0.63257,1.0175,0.98525,0.88653,0.9524,0.64668,1.10271,0.62191,1.03783,0.0007228,0.0007228,0.0007228
16,946.079,1.0396,0.60476,0.9952,0.96574,0.91593,0.95718,0.65282,1.10424,0.59001,1.03587,0.000703,0.000703,0.000703
17,1003.97,1.03601,0.57553,1.00893,0.96725,0.91488,0.95967,0.67589,1.07781,0.56492,1.02641,0.0006832,0.0006832,0.0006832
18,1061.4,1.05954,0.56666,1.01818,0.97425,0.90265,0.96065,0.66429,1.11017,0.57575,1.03995,0.0006634,0.0006634,0.0006634
19,1118.85,1.02524,0.56614,1.00621,0.9673,0.91621,0.96402,0.67894,1.0569,0.55735,1.0294,0.0006436,0.0006436,0.0006436
20,1175.61,1.02445,0.54975,1.01409,0.95291,0.94248,0.96544,0.67533,1.06388,0.53521,1.03043,0.0006238,0.0006238,0.0006238
21,1232.45,0.98512,0.52653,0.99152,0.96711,0.91074,0.94898,0.66792,1.0614,0.54695,1.01907,0.000604,0.000604,0.000604
22,1290.4,0.98965,0.51588,0.98797,0.96705,0.89823,0.95526,0.66464,1.09168,0.59947,1.03701,0.0005842,0.0005842,0.0005842
23,1348.16,1.01616,0.52737,1.01641,0.94935,0.91224,0.95432,0.66652,1.10752,0.52609,1.05199,0.0005644,0.0005644,0.0005644
24,1406.07,1.03574,0.52241,1.01875,0.96759,0.92459,0.95741,0.66537,1.0445,0.51433,1.02477,0.0005446,0.0005446,0.0005446
