epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.917,nan,nan,nan,0.01745,0.35768,0.02979,0.0123,nan,nan,nan,0.000665336,0.000665336,0.000665336
2,342.861,nan,nan,nan,0.01715,0.35613,0.03385,0.01528,nan,nan,nan,0.00126607,0.00126607,0.00126607
3,502.086,nan,nan,nan,0.01749,0.36182,0.03381,0.01512,nan,nan,nan,0.0018008,0.0018008,0.0018008
4,661.048,nan,nan,nan,0.01715,0.35509,0.03351,0.01514,nan,nan,nan,0.001703,0.001703,0.001703
5,820.328,nan,nan,nan,0.01732,0.3582,0.0319,0.01444,nan,nan,nan,0.001604,0.001604,0.001604
6,979.564,nan,nan,nan,0.0171,0.35354,0.03091,0.01281,nan,nan,nan,0.001505,0.001505,0.001505
7,1138.53,nan,nan,nan,0.01701,0.35379,0.03166,0.01426,nan,nan,nan,0.001406,0.001406,0.001406
8,1297.43,nan,nan,nan,0.01694,0.35069,0.03191,0.01416,nan,nan,nan,0.001307,0.001307,0.001307
9,1456.52,nan,nan,nan,0.01735,0.35897,0.02917,0.01208,nan,nan,nan,0.001208,0.001208,0.001208
10,1615.38,nan,nan,nan,0.01671,0.34551,0.03154,0.01402,nan,nan,nan,0.001109,0.001109,0.001109
11,1828.85,nan,nan,nan,0.01833,0.38462,0.03296,0.01167,nan,nan,nan,0.00101,0.00101,0.00101
12,1987.58,nan,nan,nan,0.01865,0.39342,0.03226,0.011,nan,nan,nan,0.000911,0.000911,0.000911
13,2145.8,nan,nan,nan,0.01874,0.39031,0.03479,0.0132,nan,nan,nan,0.000812,0.000812,0.000812
14,2304.05,nan,nan,nan,0.01865,0.39239,0.03596,0.01378,nan,nan,nan,0.000713,0.000713,0.000713
15,2462.54,nan,nan,nan,0.01853,0.39083,0.03322,0.01151,nan,nan,nan,0.000614,0.000614,0.000614
16,2620.87,nan,nan,nan,0.0188,0.39575,0.03583,0.01382,nan,nan,nan,0.000515,0.000515,0.000515
17,2779.57,nan,nan,nan,0.01873,0.39135,0.03235,0.01122,nan,nan,nan,0.000416,0.000416,0.000416
18,2938.3,nan,nan,nan,0.01863,0.39187,0.03185,0.01114,nan,nan,nan,0.000317,0.000317,0.000317
19,3096.47,nan,nan,nan,0.01841,0.38617,0.03124,0.01122,nan,nan,nan,0.000218,0.000218,0.000218
20,3254.78,nan,nan,nan,0.01859,0.39187,0.03327,0.01179,nan,nan,nan,0.000119,0.000119,0.000119
