epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2935,1.02517,0.96054,1.07488,0.91888,0.90961,0.95076,0.69485,0.98031,0.72078,1.05376,0.000665336,0.000665336,0.000665336
2,131.243,0.92368,0.67801,1.03711,0.9426,0.93992,0.96779,0.70631,0.99812,0.58499,1.08485,0.00126607,0.00126607,0.00126607
3,184.048,0.9341,0.65311,1.05435,0.94308,0.9438,0.96754,0.7302,0.89833,0.54248,1.0426,0.0018008,0.0018008,0.0018008
4,236.446,0.86487,0.58605,1.01945,0.96046,0.94198,0.97096,0.7599,0.82124,0.47191,1.02151,0.001703,0.001703,0.001703
5,288.749,0.86816,0.57334,1.03605,0.95609,0.95873,0.97089,0.76583,0.80677,0.45469,1.01418,0.001604,0.001604,0.001604
6,341.164,0.83341,0.51131,1.00426,0.95369,0.96531,0.97313,0.76055,0.83752,0.43334,1.02599,0.001505,0.001505,0.001505
7,396.666,0.81115,0.48388,0.99681,0.96227,0.95774,0.97436,0.76825,0.82986,0.41804,1.01998,0.001406,0.001406,0.001406
8,448.631,0.78564,0.44711,0.99162,0.96385,0.95993,0.97688,0.7802,0.80989,0.40385,1.01324,0.001307,0.001307,0.001307
9,500.995,0.76221,0.42306,0.97974,0.96665,0.96081,0.97861,0.79312,0.77881,0.37289,0.99972,0.001208,0.001208,0.001208
10,555.223,0.75791,0.40603,0.98256,0.96578,0.96503,0.97856,0.79613,0.77372,0.36652,0.99847,0.001109,0.001109,0.001109
11,655.158,0.73615,0.38902,0.97314,0.96887,0.96374,0.97841,0.79742,0.76942,0.36047,0.99454,0.00101,0.00101,0.00101
12,710.017,0.73164,0.37935,0.96845,0.96169,0.96685,0.97847,0.79389,0.77091,0.36009,0.99598,0.000911,0.000911,0.000911
13,764.405,0.71171,0.35962,0.96078,0.9712,0.95882,0.9775,0.80961,0.73194,0.34351,0.98012,0.000812,0.000812,0.000812
14,819.143,0.70163,0.3481,0.95629,0.97055,0.96348,0.97795,0.80748,0.72877,0.33995,0.97637,0.000713,0.000713,0.000713
15,873.509,0.6878,0.33868,0.94991,0.97123,0.9684,0.9795,0.8079,0.73572,0.328,0.98246,0.000614,0.000614,0.000614
16,928.55,0.68695,0.33358,0.9476,0.97056,0.96489,0.97841,0.8066,0.74135,0.33103,0.98057,0.000515,0.000515,0.000515
17,983.398,0.67044,0.32221,0.93871,0.96873,0.97077,0.98012,0.81852,0.72371,0.32216,0.9703,0.000416,0.000416,0.000416
18,1038.11,0.66364,0.31441,0.9372,0.97256,0.96529,0.98121,0.81758,0.72224,0.31386,0.97092,0.000317,0.000317,0.000317
19,1093.21,0.65188,0.30358,0.9313,0.9718,0.97278,0.98039,0.82312,0.70446,0.30491,0.96451,0.000218,0.000218,0.000218
20,1148.74,0.6425,0.29964,0.92751,0.97026,0.97164,0.98077,0.82834,0.69588,0.30296,0.96032,0.000119,0.000119,0.000119
