epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5138,1.35131,2.3498,1.25661,0.94695,0.46669,0.90179,0.57602,1.21894,2.15034,0.97322,0.00042,0.00042,0.00042
2,33.0849,1.20131,1.18888,1.07276,0.77979,0.90196,0.90731,0.5496,1.29651,1.20984,1.0404,0.00081743,0.00081743,0.00081743
3,36.1485,1.04912,0.91431,1.01722,0.78254,0.96433,0.90055,0.60048,1.11367,1.15454,0.99694,0.0011713,0.0011713,0.0011713
4,39.1878,1.03094,0.90232,1.04003,0.88684,0.93464,0.94415,0.56873,1.21818,1.05848,1.06062,0.00148161,0.00148161,0.00148161
5,42.199,1.04113,0.91603,1.02902,0.96595,0.96078,0.98492,0.66502,1.10106,0.86408,1.01588,0.001604,0.001604,0.001604
6,45.2269,1.02597,0.81582,1.0278,0.94032,0.98693,0.98999,0.66384,1.15934,0.81891,1.04898,0.001505,0.001505,0.001505
7,48.2103,1.02428,0.84686,1.0068,0.99325,0.9619,0.99224,0.71864,1.01495,0.75166,0.99437,0.001406,0.001406,0.001406
8,51.235,0.9833,0.76959,0.98815,0.98604,0.96732,0.9928,0.71903,1.04599,0.75649,0.98958,0.001307,0.001307,0.001307
9,54.2166,1.00272,0.73797,1.01866,0.99336,0.97824,0.99461,0.71022,1.03989,0.71479,1.00201,0.001208,0.001208,0.001208
10,57.205,0.96314,0.73937,0.99253,0.99342,0.98685,0.99456,0.7344,0.98547,0.68284,0.97169,0.001109,0.001109,0.001109
11,88.5373,0.92384,0.72756,0.97825,0.99146,0.99346,0.99428,0.7334,0.99479,0.6935,0.97216,0.00101,0.00101,0.00101
12,91.428,0.91789,0.71237,0.97738,0.99097,0.99346,0.99493,0.71749,1.05635,0.68367,1.02645,0.000911,0.000911,0.000911
13,94.2674,0.92382,0.67154,0.97727,0.99349,0.99727,0.99481,0.72846,1.02777,0.65894,1.01147,0.000812,0.000812,0.000812
14,97.1516,0.95765,0.68043,1.01089,0.9935,0.99846,0.99468,0.76435,0.92964,0.63162,0.97329,0.000713,0.000713,0.000713
15,100.022,0.93467,0.64686,0.98327,0.99172,1,0.99468,0.75795,0.93736,0.62954,0.96892,0.000614,0.000614,0.000614
16,102.946,0.88664,0.63161,0.96105,0.99308,1,0.99422,0.74929,0.95574,0.61758,0.97076,0.000515,0.000515,0.000515
17,105.818,0.88292,0.6153,0.95113,0.99279,1,0.99422,0.75917,0.93575,0.5915,0.95996,0.000416,0.000416,0.000416
18,108.691,0.86522,0.60997,0.94947,0.99349,0.9982,0.99429,0.7635,0.93195,0.59447,0.95734,0.000317,0.000317,0.000317
19,111.566,0.87479,0.59803,0.95062,0.9935,0.99855,0.99442,0.75554,0.94573,0.59496,0.96015,0.000218,0.000218,0.000218
20,114.44,0.86445,0.61152,0.94045,0.99263,1,0.99461,0.76525,0.9435,0.58639,0.96186,0.000119,0.000119,0.000119
